filename,path,pred,conf,second,second_conf,status
006002.jpg,006002.jpg,swd,1.0000,others,0.0000,unknown_class
002019.jpg,002019.jpg,swd,1.0000,others,0.0000,unknown_class
000283.jpg,000283.jpg,swd,1.0000,mayswd,0.0000,unknown_class
002134.jpg,002134.jpg,swd,1.0000,mayswd,0.0000,unknown_class
002837.jpg,002837.jpg,swd,1.0000,others,0.0000,unknown_class
005117.jpg,005117.jpg,swd,1.0000,others,0.0000,unknown_class
001192.jpg,001192.jpg,swd,1.0000,mayswd,0.0000,unknown_class
002969.jpg,002969.jpg,swd,1.0000,others,0.0000,unknown_class
003431.jpg,003431.jpg,swd,1.0000,others,0.0000,unknown_class
002663.jpg,002663.jpg,swd,1.0000,mayswd,0.0000,unknown_class
000346.jpg,000346.jpg,swd,1.0000,others,0.0000,unknown_class
005287.jpg,005287.jpg,swd,1.0000,others,0.0000,unknown_class
000303.jpg,000303.jpg,swd,1.0000,mayswd,0.0000,unknown_class
001095.jpg,001095.jpg,swd,1.0000,others,0.0000,unknown_class
001076.jpg,001076.jpg,swd,1.0000,others,0.0000,unknown_class
000170.jpg,000170.jpg,swd,1.0000,others,0.0000,unknown_class
002274.jpg,002274.jpg,swd,1.0000,mayswd,0.0000,unknown_class
001324.jpg,001324.jpg,swd,1.0000,others,0.0000,unknown_class
000415.jpg,000415.jpg,swd,1.0000,mayswd,0.0000,unknown_class
002461.jpg,002461.jpg,swd,1.0000,others,0.0000,unknown_class
000256.jpg,000256.jpg,swd,1.0000,mayswd,0.0000,unknown_class
000599.jpg,000599.jpg,swd,1.0000,mayswd,0.0000,unknown_class
000169.jpg,000169.jpg,swd,1.0000,others,0.0000,unknown_class
002854.jpg,002854.jpg,swd,1.0000,others,0.0000,unknown_class
000319.jpg,000319.jpg,swd,1.0000,others,0.0000,unknown_class
000789.jpg,000789.jpg,swd,1.0000,others,0.0000,unknown_class
000974.jpg,000974.jpg,swd,1.0000,others,0.0000,unknown_class
002588.jpg,002588.jpg,swd,1.0000,others,0.0000,unknown_class
007956.jpg,007956.jpg,swd,1.0000,others,0.0000,unknown_class
007305.jpg,007305.jpg,swd,1.0000,others,0.0000,unknown_class
000513.jpg,000513.jpg,swd,1.0000,mayswd,0.0000,unknown_class
007459.jpg,007459.jpg,swd,1.0000,mayswd,0.0000,unknown_class
000263.jpg,000263.jpg,swd,1.0000,others,0.0000,unknown_class
002266.jpg,002266.jpg,swd,1.0000,others,0.0000,unknown_class
002916.jpg,002916.jpg,swd,1.0000,others,0.0000,unknown_class
006863.jpg,006863.jpg,swd,1.0000,others,0.0000,unknown_class
002003.jpg,002003.jpg,mayswd,1.0000,swd,0.0000,unknown_class
000068.jpg,000068.jpg,swd,1.0000,others,0.0000,unknown_class
003647.jpg,003647.jpg,swd,1.0000,others,0.0000,unknown_class
001201.jpg,001201.jpg,swd,1.0000,others,0.0000,unknown_class
000757.jpg,000757.jpg,swd,1.0000,others,0.0000,unknown_class
001391.jpg,001391.jpg,swd,1.0000,others,0.0000,unknown_class
005067.jpg,005067.jpg,swd,1.0000,others,0.0000,unknown_class
000296.jpg,000296.jpg,swd,1.0000,others,0.0000,unknown_class
001322.jpg,001322.jpg,swd,1.0000,others,0.0000,unknown_class
001592.jpg,001592.jpg,swd,1.0000,others,0.0000,unknown_class
