path,datetime,focal,resolution,date,time,gap_time
/home/tianqi/D/01_Projects/01_swd/02_code/pipeline/ultralytics_ty/_ty/01_data/a04_whole_raw_data/ms2_0605_0923/0826_1639_680.jpg,2024-08-26 16:39:00,680,4656x3496,2024-08-26,16:39:00,1.0
/home/tianqi/D/01_Projects/01_swd/02_code/pipeline/ultralytics_ty/_ty/01_data/a04_whole_raw_data/ms2_0605_0923/0826_1702_540.jpg,2024-08-26 17:02:00,540,4656x3496,2024-08-26,17:02:00,23.0
/home/tianqi/D/01_Projects/01_swd/02_code/pipeline/ultralytics_ty/_ty/01_data/a04_whole_raw_data/ms2_0605_0923/0826_1704_580.jpg,2024-08-26 17:04:00,580,4656x3496,2024-08-26,17:04:00,2.0
/home/tianqi/D/01_Projects/01_swd/02_code/pipeline/ultralytics_ty/_ty/01_data/a04_whole_raw_data/ms2_0605_0923/0826_1706_600.jpg,2024-08-26 17:06:00,600,4656x3496,2024-08-26,17:06:00,2.0
/home/tianqi/D/01_Projects/01_swd/02_code/pipeline/ultralytics_ty/_ty/01_data/a04_whole_raw_data/ms2_0605_0923/0826_1708_640.jpg,2024-08-26 17:08:00,640,4656x3496,2024-08-26,17:08:00,2.0
/home/tianqi/D/01_Projects/01_swd/02_code/pipeline/ultralytics_ty/_ty/01_data/a04_whole_raw_data/ms2_0605_0923/0826_1709_680.jpg,2024-08-26 17:09:00,680,4656x3496,2024-08-26,17:09:00,1.0
/home/tianqi/D/01_Projects/01_swd/02_code/pipeline/ultralytics_ty/_ty/01_data/a04_whole_raw_data/ms2_0605_0923/0826_1732_540.jpg,2024-08-26 17:32:00,540,4656x3496,2024-08-26,17:32:00,23.0
/home/tianqi/D/01_Projects/01_swd/02_code/pipeline/ultralytics_ty/_ty/01_data/a04_whole_raw_data/ms2_0605_0923/0826_1734_580.jpg,2024-08-26 17:34:00,580,4656x3496,2024-08-26,17:34:00,2.0
/home/tianqi/D/01_Projects/01_swd/02_code/pipeline/ultralytics_ty/_ty/01_data/a04_whole_raw_data/ms2_0605_0923/0826_1736_600.jpg,2024-08-26 17:36:00,600,4656x3496,2024-08-26,17:36:00,2.0
/home/tianqi/D/01_Projects/01_swd/02_code/pipeline/ultralytics_ty/_ty/01_data/a04_whole_raw_data/ms2_0605_0923/0826_1737_640.jpg,2024-08-26 17:37:00,640,4656x3496,2024-08-26,17:37:00,1.0
/home/tianqi/D/01_Projects/01_swd/02_code/pipeline/ultralytics_ty/_ty/01_data/a04_whole_raw_data/ms2_0605_0923/0826_1739_680.jpg,2024-08-26 17:39:00,680,4656x3496,2024-08-26,17:39:00,2.0
/home/tianqi/D/01_Projects/01_swd/02_code/pipeline/ultralytics_ty/_ty/01_data/a04_whole_raw_data/ms2_0605_0923/0826_1802_540.jpg,2024-08-26 18:02:00,540,4656x3496,2024-08-26,18:02:00,23.0
/home/tianqi/D/01_Projects/01_swd/02_code/pipeline/ultralytics_ty/_ty/01_data/a04_whole_raw_data/ms2_0605_0923/0826_1804_580.jpg,2024-08-26 18:04:00,580,4656x3496,2024-08-26,18:04:00,2.0
/home/tianqi/D/01_Projects/01_swd/02_code/pipeline/ultralytics_ty/_ty/01_data/a04_whole_raw_data/ms2_0605_0923/0826_1806_600.jpg,2024-08-26 18:06:00,600,4656x3496,2024-08-26,18:06:00,2.0
/home/tianqi/D/01_Projects/01_swd/02_code/pipeline/ultralytics_ty/_ty/01_data/a04_whole_raw_data/ms2_0605_0923/0826_1808_640.jpg,2024-08-26 18:08:00,640,4656x3496,2024-08-26,18:08:00,2.0
/home/tianqi/D/01_Projects/01_swd/02_code/pipeline/ultralytics_ty/_ty/01_data/a04_whole_raw_data/ms2_0605_0923/0826_1809_680.jpg,2024-08-26 18:09:00,680,4656x3496,2024-08-26,18:09:00,1.0
/home/tianqi/D/01_Projects/01_swd/02_code/pipeline/ultralytics_ty/_ty/01_data/a04_whole_raw_data/ms2_0605_0923/0826_1832_540.jpg,2024-08-26 18:32:00,540,4656x3496,2024-08-26,18:32:00,23.0
/home/tianqi/D/01_Projects/01_swd/02_code/pipeline/ultralytics_ty/_ty/01_data/a04_whole_raw_data/ms2_0605_0923/0826_1833_580.jpg,2024-08-26 18:33:00,580,4656x3496,2024-08-26,18:33:00,1.0
/home/tianqi/D/01_Projects/01_swd/02_code/pipeline/ultralytics_ty/_ty/01_data/a04_whole_raw_data/ms2_0605_0923/0826_1835_600.jpg,2024-08-26 18:35:00,600,4656x3496,2024-08-26,18:35:00,2.0
/home/tianqi/D/01_Projects/01_swd/02_code/pipeline/ultralytics_ty/_ty/01_data/a04_whole_raw_data/ms2_0605_0923/0826_1836_640.jpg,2024-08-26 18:36:00,640,4656x3496,2024-08-26,18:36:00,1.0
/home/tianqi/D/01_Projects/01_swd/02_code/pipeline/ultralytics_ty/_ty/01_data/a04_whole_raw_data/ms2_0605_0923/0826_1838_680.jpg,2024-08-26 18:38:00,680,4656x3496,2024-08-26,18:38:00,2.0
