datetime,count
2024-07-28T07:35:00,2
2024-07-28T08:05:00,1
2024-07-28T08:35:00,1
2024-07-28T09:05:00,1
2024-07-28T09:35:00,1
2024-07-28T10:05:00,2
2024-07-28T10:35:00,1
2024-07-28T11:05:00,2
2024-07-28T11:35:00,1
2024-07-28T12:05:00,3
2024-07-28T12:35:00,2
2024-07-28T13:05:00,1
2024-07-28T13:35:00,2
2024-07-28T14:05:00,2
2024-07-28T14:35:00,3
2024-07-28T15:05:00,1
2024-07-28T15:35:00,2
2024-07-28T16:05:00,1
2024-07-28T16:35:00,1
2024-07-28T17:05:00,1
2024-07-28T17:35:00,1
2024-07-28T18:05:00,3
2024-07-28T18:35:00,2
2024-07-28T19:05:00,2
2024-07-28T19:35:00,1
2024-07-28T20:05:00,2
2024-07-28T20:35:00,0
2024-07-29T06:04:00,1
2024-07-29T06:34:00,2
2024-07-29T07:04:00,1
2024-07-29T07:34:00,2
2024-07-29T08:04:00,0
2024-07-29T08:34:00,1
2024-07-29T09:04:00,1
2024-07-29T09:34:00,2
2024-07-29T10:04:00,1
2024-07-29T10:34:00,1
2024-07-29T11:04:00,1
2024-07-29T11:34:00,3
2024-07-29T12:04:00,2
2024-07-29T12:34:00,1
2024-07-29T13:04:00,1
2024-07-29T13:34:00,1
2024-07-29T14:04:00,2
2024-07-29T14:34:00,1
2024-07-29T15:04:00,0
2024-07-29T15:34:00,1
2024-07-29T16:04:00,2
2024-07-29T16:34:00,1
2024-07-29T17:04:00,2
2024-07-29T17:34:00,0
2024-07-29T18:04:00,2
2024-07-29T18:34:00,1
2024-07-29T19:04:00,1
2024-07-30T16:04:00,1
2024-07-30T16:34:00,2
2024-07-30T17:04:00,1
2024-07-30T17:34:00,1
2024-07-30T18:04:00,1
2024-07-30T18:34:00,1
2024-07-30T19:04:00,0
2024-07-30T19:34:00,1
2024-07-30T20:04:00,0
2024-07-30T20:34:00,0
2024-07-31T06:05:00,0
2024-07-31T06:35:00,0
2024-07-31T07:05:00,0
2024-07-31T07:35:00,0
2024-07-31T08:05:00,0
2024-07-31T08:35:00,0
2024-07-31T09:05:00,1
2024-07-31T09:35:00,1
2024-07-31T10:05:00,1
2024-07-31T10:35:00,0
2024-07-31T11:05:00,0
2024-07-31T11:35:00,1
2024-07-31T12:05:00,1
2024-07-31T12:35:00,1
2024-07-31T13:05:00,1
2024-07-31T13:35:00,0
2024-07-31T14:05:00,0
2024-07-31T14:35:00,1
2024-07-31T15:05:00,0
2024-07-31T15:35:00,0
2024-07-31T16:05:00,2
2024-07-31T16:35:00,1
2024-07-31T17:05:00,1
2024-07-31T17:35:00,0
2024-07-31T18:05:00,1
2024-07-31T18:35:00,1
2024-07-31T19:05:00,1
2024-07-31T19:35:00,1
2024-07-31T20:05:00,0
2024-07-31T20:35:00,0
2024-08-01T06:04:00,0
2024-08-01T06:34:00,1
2024-08-01T07:04:00,2
2024-08-01T07:34:00,0
2024-08-01T08:04:00,0
2024-08-01T08:34:00,0
2024-08-01T09:04:00,0
2024-08-01T09:34:00,1
2024-08-01T10:04:00,1
2024-08-01T10:34:00,1
2024-08-01T11:04:00,1
2024-08-01T11:34:00,1
2024-08-01T12:04:00,0
2024-08-01T12:34:00,1
2024-08-01T13:04:00,1
2024-08-01T13:34:00,0
2024-08-01T14:04:00,0
2024-08-01T14:34:00,0
2024-08-01T15:04:00,0
2024-08-01T15:34:00,0
2024-08-01T16:04:00,0
2024-08-01T16:34:00,1
2024-08-01T17:04:00,1
2024-08-01T17:34:00,1
2024-08-01T18:04:00,0
2024-08-01T18:34:00,0
2024-08-01T19:04:00,0
2024-08-01T19:34:00,0
2024-08-01T20:04:00,0
2024-08-01T20:34:00,0
2024-08-02T06:04:00,0
2024-08-02T06:34:00,1
2024-08-02T07:04:00,1
2024-08-02T07:34:00,0
2024-08-02T08:04:00,0
2024-08-02T08:34:00,0
2024-08-02T09:04:00,0
2024-08-02T09:34:00,0
2024-08-02T10:04:00,0
2024-08-02T10:34:00,0
2024-08-02T11:04:00,0
2024-08-02T11:34:00,1
2024-08-02T12:04:00,1
2024-08-02T12:34:00,0
2024-08-02T13:04:00,1
2024-08-02T13:34:00,1
2024-08-02T14:04:00,0
2024-08-02T14:34:00,0
2024-08-02T15:04:00,0
2024-08-02T15:34:00,0
2024-08-02T16:04:00,1
2024-08-02T16:34:00,2
2024-08-02T17:04:00,3
2024-08-02T17:34:00,1
2024-08-02T18:04:00,2
2024-08-02T18:34:00,0
2024-08-02T19:04:00,1
2024-08-02T19:34:00,0
2024-08-02T20:04:00,0
2024-08-02T20:34:00,0
2024-08-03T06:03:00,8
2024-08-03T06:33:00,7
2024-08-03T07:03:00,2
2024-08-03T07:33:00,2
2024-08-03T08:03:00,1
2024-08-03T08:33:00,2
2024-08-03T09:03:00,1
2024-08-03T09:33:00,2
2024-08-03T10:03:00,2
2024-08-03T10:33:00,2
2024-08-03T11:03:00,0
2024-08-03T11:33:00,2
2024-08-03T12:03:00,0
2024-08-03T12:33:00,1
2024-08-03T13:03:00,1
2024-08-03T13:33:00,0
2024-08-03T14:03:00,0
2024-08-03T14:33:00,0
2024-08-03T15:03:00,2
2024-08-03T15:33:00,0
2024-08-03T16:03:00,0
2024-08-03T16:33:00,0
2024-08-03T17:03:00,0
2024-08-03T17:33:00,1
2024-08-03T18:03:00,1
2024-08-03T18:33:00,0
2024-08-03T19:03:00,1
2024-08-03T19:33:00,1
2024-08-03T20:03:00,1
2024-08-03T20:33:00,0
2024-08-04T06:03:00,1
2024-08-04T06:33:00,5
2024-08-04T07:03:00,0
2024-08-04T07:33:00,2
2024-08-04T08:03:00,2
2024-08-04T08:33:00,3
2024-08-04T09:03:00,1
2024-08-04T09:33:00,2
2024-08-04T10:03:00,2
2024-08-04T10:33:00,2
2024-08-04T11:03:00,2
2024-08-04T11:33:00,1
2024-08-04T12:03:00,2
2024-08-04T12:33:00,1
2024-08-04T13:03:00,2
2024-08-04T13:33:00,2
2024-08-04T14:03:00,1
2024-08-04T14:33:00,1
2024-08-04T15:03:00,1
2024-08-04T15:33:00,1
2024-08-04T16:03:00,3
2024-08-04T16:33:00,3
2024-08-04T17:03:00,3
2024-08-04T17:33:00,4
2024-08-04T18:03:00,3
2024-08-04T18:33:00,1
2024-08-04T19:03:00,2
2024-08-04T19:33:00,1
2024-08-04T20:03:00,3
2024-08-04T20:33:00,0
2024-08-05T06:05:00,1
2024-08-05T06:34:00,3
2024-08-05T07:04:00,1
2024-08-05T07:34:00,1
2024-08-05T08:04:00,1
2024-08-05T08:34:00,1
2024-08-05T09:04:00,2
2024-08-05T09:34:00,1
2024-08-05T10:04:00,2
2024-08-05T10:34:00,2
2024-08-05T11:04:00,2
2024-08-05T11:34:00,1
2024-08-05T12:04:00,1
2024-08-05T12:34:00,2
2024-08-05T13:04:00,1
2024-08-05T13:34:00,3
2024-08-05T14:04:00,2
2024-08-05T14:34:00,1
2024-08-05T15:04:00,1
2024-08-05T15:34:00,1
2024-08-05T16:04:00,2
2024-08-05T16:34:00,4
2024-08-05T17:04:00,3
2024-08-05T17:34:00,2
2024-08-05T18:04:00,4
2024-08-05T18:34:00,2
2024-08-05T19:04:00,3
2024-08-05T19:34:00,2
2024-08-05T20:04:00,1
2024-08-05T20:34:00,0
2024-08-06T06:05:00,3
2024-08-06T06:34:00,5
2024-08-06T07:04:00,5
2024-08-06T07:34:00,4
2024-08-06T08:04:00,4
2024-08-06T08:34:00,3
2024-08-06T09:04:00,4
2024-08-06T09:34:00,3
2024-08-06T10:04:00,2
2024-08-06T10:34:00,1
2024-08-06T11:04:00,2
2024-08-06T11:34:00,1
2024-08-06T12:04:00,2
2024-08-06T12:34:00,3
2024-08-06T13:04:00,2
2024-08-06T13:34:00,3
2024-08-06T14:04:00,1
2024-08-06T14:34:00,1
2024-08-06T15:04:00,1
2024-08-06T15:34:00,3
2024-08-06T16:04:00,4
2024-08-06T16:34:00,4
2024-08-06T17:04:00,3
2024-08-06T17:34:00,4
2024-08-06T18:04:00,2
2024-08-06T18:34:00,3
2024-08-06T19:04:00,2
2024-08-06T19:34:00,2
2024-08-06T20:04:00,2
2024-08-06T20:34:00,0
2024-08-07T06:05:00,0
2024-08-07T06:34:00,2
2024-08-07T07:04:00,5
2024-08-07T07:34:00,4
2024-08-07T08:04:00,3
2024-08-07T08:34:00,6
2024-08-07T09:04:00,3
2024-08-07T09:34:00,3
2024-08-07T10:04:00,3
2024-08-07T10:34:00,4
2024-08-07T11:04:00,4
2024-08-07T11:34:00,5
2024-08-07T12:04:00,2
2024-08-07T12:34:00,1
2024-08-07T13:04:00,2
2024-08-07T13:34:00,1
2024-08-07T14:04:00,2
2024-08-07T14:34:00,3
2024-08-07T15:04:00,3
2024-08-07T15:34:00,2
2024-08-07T16:04:00,4
2024-08-07T16:34:00,4
2024-08-07T17:04:00,3
2024-08-07T17:34:00,3
2024-08-07T18:04:00,2
2024-08-07T18:34:00,2
2024-08-07T19:04:00,3
2024-08-07T19:34:00,2
2024-08-07T20:04:00,1
2024-08-07T20:34:00,0
2024-08-08T06:05:00,0
2024-08-08T06:35:00,7
2024-08-08T07:05:00,2
2024-08-08T07:35:00,5
2024-08-08T08:05:00,6
2024-08-08T08:35:00,0
2024-08-08T09:05:00,0
2024-08-08T09:35:00,0
2024-08-08T10:05:00,0
2024-08-08T10:35:00,0
2024-08-08T11:05:00,0
2024-08-08T11:35:00,0
2024-08-08T12:05:00,0
2024-08-08T12:35:00,0
2024-08-08T13:05:00,0
2024-08-08T13:35:00,0
2024-08-08T14:05:00,0
2024-08-08T14:35:00,0
2024-08-08T15:05:00,0
2024-08-08T15:35:00,0
2024-08-08T16:05:00,0
2024-08-08T16:35:00,0
2024-08-08T17:05:00,0
2024-08-08T17:35:00,0
2024-08-08T18:05:00,0
2024-08-08T18:35:00,0
2024-08-08T19:05:00,0
2024-08-08T19:35:00,0
2024-08-08T20:05:00,1
2024-08-08T20:35:00,0
2024-08-09T06:05:00,0
2024-08-09T06:35:00,2
2024-08-09T07:05:00,3
2024-08-09T07:35:00,3
2024-08-09T08:05:00,2
2024-08-09T08:35:00,3
2024-08-09T09:05:00,3
2024-08-09T09:35:00,2
2024-08-09T10:05:00,3
2024-08-09T10:35:00,3
2024-08-09T11:05:00,3
2024-08-09T11:35:00,3
2024-08-09T12:05:00,3
2024-08-09T12:35:00,1
2024-08-09T13:05:00,1
2024-08-09T13:35:00,1
2024-08-09T14:05:00,1
2024-08-09T14:35:00,1
2024-08-09T15:05:00,1
2024-08-09T15:35:00,2
2024-08-09T16:05:00,2
2024-08-09T16:35:00,2
2024-08-09T17:05:00,2
2024-08-09T17:35:00,2
2024-08-09T18:05:00,2
2024-08-09T18:35:00,2
2024-08-09T19:05:00,1
2024-08-09T19:35:00,1
2024-08-09T20:05:00,2
2024-08-09T20:35:00,0
2024-08-10T06:05:00,0
2024-08-10T06:35:00,3
2024-08-10T07:05:00,4
2024-08-10T07:35:00,2
