capture_datetime,capture_date,capture_time,hour,doy,confidence_mass_max,pred_count_max,detection_rate_max,focus_selected,num_focus_available,num_focus_detected,any_focus_detected,confidence_mass_range_across_focus,confidence_mass_std_across_focus
2024-06-11 07:31:00,2024-06-11,07:31:00,7,163,0.0,0,0.0,700,1,0,0,0.0,0.0
2024-06-11 08:01:00,2024-06-11,08:01:00,8,163,0.0,0,0.0,700,1,0,0,0.0,0.0
2024-06-11 08:31:00,2024-06-11,08:31:00,8,163,0.0,0,0.0,700,1,0,0,0.0,0.0
2024-06-11 09:01:00,2024-06-11,09:01:00,9,163,0.0,0,0.0,700,1,0,0,0.0,0.0
2024-06-11 09:31:00,2024-06-11,09:31:00,9,163,0.0,0,0.0,700,1,0,0,0.0,0.0
2024-06-11 10:01:00,2024-06-11,10:01:00,10,163,0.0,0,0.0,700,1,0,0,0.0,0.0
2024-06-11 10:31:00,2024-06-11,10:31:00,10,163,0.0,0,0.0,700,1,0,0,0.0,0.0
2024-06-11 11:01:00,2024-06-11,11:01:00,11,163,0.8670110702514648,1,1.0,700,1,1,1,0.0,0.0
2024-06-11 11:31:00,2024-06-11,11:31:00,11,163,3.619321882724762,4,1.0,700,1,1,1,0.0,0.0
2024-06-11 12:01:00,2024-06-11,12:01:00,12,163,5.442324221134186,6,1.0,700,1,1,1,0.0,0.0
2024-06-11 12:31:00,2024-06-11,12:31:00,12,163,5.446181535720825,6,1.0,700,1,1,1,0.0,0.0
2024-06-11 13:01:00,2024-06-11,13:01:00,13,163,4.548846244812012,5,1.0,700,1,1,1,0.0,0.0
2024-06-11 13:31:00,2024-06-11,13:31:00,13,163,4.4816120862960815,5,1.0,700,1,1,1,0.0,0.0
2024-06-11 14:01:00,2024-06-11,14:01:00,14,163,4.425664365291596,5,1.0,700,1,1,1,0.0,0.0
2024-06-11 14:31:00,2024-06-11,14:31:00,14,163,3.5620118975639343,4,1.0,700,1,1,1,0.0,0.0
2024-06-11 15:01:00,2024-06-11,15:01:00,15,163,3.537630021572113,4,1.0,700,1,1,1,0.0,0.0
2024-06-11 15:31:00,2024-06-11,15:31:00,15,163,4.487090647220612,5,1.0,700,1,1,1,0.0,0.0
2024-06-11 16:01:00,2024-06-11,16:01:00,16,163,3.5933114290237427,4,1.0,700,1,1,1,0.0,0.0
2024-06-11 16:31:00,2024-06-11,16:31:00,16,163,4.499046981334686,5,1.0,700,1,1,1,0.0,0.0
2024-06-11 17:01:00,2024-06-11,17:01:00,17,163,2.672321915626526,3,1.0,700,1,1,1,0.0,0.0
2024-06-11 17:31:00,2024-06-11,17:31:00,17,163,3.551105320453644,4,1.0,700,1,1,1,0.0,0.0
2024-06-11 18:01:00,2024-06-11,18:01:00,18,163,2.720932900905609,3,1.0,700,1,1,1,0.0,0.0
2024-06-11 18:31:00,2024-06-11,18:31:00,18,163,2.71003657579422,3,1.0,700,1,1,1,0.0,0.0
2024-06-11 19:01:00,2024-06-11,19:01:00,19,163,2.6955536007881165,3,1.0,700,1,1,1,0.0,0.0
2024-06-11 19:31:00,2024-06-11,19:31:00,19,163,0.0,0,0.0,700,1,0,0,0.0,0.0
2024-06-11 20:01:00,2024-06-11,20:01:00,20,163,0.0,0,0.0,700,1,0,0,0.0,0.0
2024-06-11 20:31:00,2024-06-11,20:31:00,20,163,0.0,0,0.0,700,1,0,0,0.0,0.0
2024-06-12 06:02:00,2024-06-12,06:02:00,6,164,0.0,0,0.0,700,1,0,0,0.0,0.0
2024-06-12 06:31:00,2024-06-12,06:31:00,6,164,0.0,0,0.0,700,1,0,0,0.0,0.0
2024-06-12 07:01:00,2024-06-12,07:01:00,7,164,3.556421816349029,4,1.0,700,1,1,1,0.0,0.0
2024-06-12 07:31:00,2024-06-12,07:31:00,7,164,0.8819378018379211,1,1.0,700,1,1,1,0.0,0.0
2024-06-12 08:01:00,2024-06-12,08:01:00,8,164,0.8538616299629211,1,1.0,700,1,1,1,0.0,0.0
2024-06-12 08:31:00,2024-06-12,08:31:00,8,164,1.7854319214820862,2,1.0,700,1,1,1,0.0,0.0
2024-06-12 09:01:00,2024-06-12,09:01:00,9,164,2.6002079248428345,3,1.0,700,1,1,1,0.0,0.0
2024-06-12 09:31:00,2024-06-12,09:31:00,9,164,0.9220420718193054,1,1.0,700,1,1,1,0.0,0.0
2024-06-12 10:01:00,2024-06-12,10:01:00,10,164,2.721395790576935,3,1.0,700,1,1,1,0.0,0.0
2024-06-12 10:31:00,2024-06-12,10:31:00,10,164,1.772400140762329,2,1.0,700,1,1,1,0.0,0.0
2024-06-12 11:01:00,2024-06-12,11:01:00,11,164,1.7864261269569397,2,1.0,700,1,1,1,0.0,0.0
2024-06-12 11:31:00,2024-06-12,11:31:00,11,164,0.0,0,0.0,700,1,0,0,0.0,0.0
2024-06-12 12:01:00,2024-06-12,12:01:00,12,164,0.8797902464866638,1,1.0,700,1,1,1,0.0,0.0
2024-06-12 12:31:00,2024-06-12,12:31:00,12,164,0.0,0,0.0,700,1,0,0,0.0,0.0
2024-06-12 13:01:00,2024-06-12,13:01:00,13,164,0.0,0,0.0,700,1,0,0,0.0,0.0
2024-06-12 13:31:00,2024-06-12,13:31:00,13,164,0.0,0,0.0,700,1,0,0,0.0,0.0
2024-06-12 14:01:00,2024-06-12,14:01:00,14,164,0.0,0,0.0,700,1,0,0,0.0,0.0
2024-06-12 14:31:00,2024-06-12,14:31:00,14,164,0.0,0,0.0,700,1,0,0,0.0,0.0
2024-06-12 15:01:00,2024-06-12,15:01:00,15,164,0.0,0,0.0,700,1,0,0,0.0,0.0
2024-06-12 15:31:00,2024-06-12,15:31:00,15,164,0.0,0,0.0,700,1,0,0,0.0,0.0
2024-06-12 16:01:00,2024-06-12,16:01:00,16,164,0.0,0,0.0,700,1,0,0,0.0,0.0
2024-06-12 16:31:00,2024-06-12,16:31:00,16,164,0.0,0,0.0,700,1,0,0,0.0,0.0
2024-06-12 17:01:00,2024-06-12,17:01:00,17,164,0.0,0,0.0,700,1,0,0,0.0,0.0
2024-06-12 17:31:00,2024-06-12,17:31:00,17,164,0.0,0,0.0,700,1,0,0,0.0,0.0
2024-06-12 18:01:00,2024-06-12,18:01:00,18,164,0.0,0,0.0,700,1,0,0,0.0,0.0
2024-06-12 18:31:00,2024-06-12,18:31:00,18,164,0.0,0,0.0,700,1,0,0,0.0,0.0
2024-06-12 19:01:00,2024-06-12,19:01:00,19,164,0.0,0,0.0,700,1,0,0,0.0,0.0
2024-06-12 19:31:00,2024-06-12,19:31:00,19,164,0.0,0,0.0,700,1,0,0,0.0,0.0
2024-06-12 20:01:00,2024-06-12,20:01:00,20,164,0.0,0,0.0,700,1,0,0,0.0,0.0
2024-06-12 20:31:00,2024-06-12,20:31:00,20,164,0.0,0,0.0,700,1,0,0,0.0,0.0
